,scale,reporting,no,item,reverse
27,정서적 공감,학생보고(5점 리커트),SR15,나는 다른 사람의 입장에서 생각하는 것이 어렵다.,Y
28,정서적 공감,학생보고(5점 리커트),SR16,"친구를 욕하기 전에, 그 친구 입장에서 생각해본다.",N
29,정서적 공감,학생보고(5점 리커트),SR17,"나는 친구들을 더 이해하기 위해서, 친구들의 입장에서 나의 모습이 어떻게 보일지 상상해본다.",N
30,정서적 공감,학생보고(5점 리커트),SR18,"내가 맞다고 생각되면, 다른 사람의 의견을 듣지 않는다.",Y
31,정서적 공감,학생보고(5점 리커트),SR19,"모든 질문은 하나 이상의 답이 있다고 생각하고, 여러 가지 생각을 해본다.",N
32,정서적 공감,학생보고(5점 리커트),SR20,화가 났을 때 바로 화내지 않으려 노력한다.,N
33,내재화(우울),학생보고(5점 리커트),SR21,평상시에는 아무렇지도 않던 일들이 귀찮게 느껴졌다.,N
34,내재화(우울),학생보고(5점 리커트),SR22,무슨 일을 하든 정신을 집중하기가 힘들었다.,N
35,내재화(우울),학생보고(5점 리커트),SR23,우울했다.,N
36,내재화(우울),학생보고(5점 리커트),SR24,하는 일마다 힘들게 느껴졌다.,N
37,내재화(우울),학생보고(5점 리커트),SR25,앞으로 잘 될 것이라고 느꼈다.,Y
38,내재화(우울),학생보고(5점 리커트),SR26,두려움을 느꼈다.,N
39,내재화(우울),학생보고(5점 리커트),SR27,"잠을 설쳤다, 잠을 잘 이루지 못했다.",N
40,내재화(우울),학생보고(5점 리커트),SR28,행복했다.,Y
41,내재화(우울),학생보고(5점 리커트),SR29,세상에 홀로 있는 듯 한 외로움을 느꼈다.,N
42,내재화(우울),학생보고(5점 리커트),SR30,도무지 무엇을 시작할 기운이 나지 않았다.,N
43,또래공동체 의식,학생보고(5점 리커트),SR31,우리반 친구들은 서로 잘 도와준다.,N
44,또래공동체 의식,학생보고(5점 리커트),SR32,우리 선생님과 반 친구들은 서로를 존중하고 배려한다.,N
45,또래공동체 의식,학생보고(5점 리커트),SR33,우리 반 친구들은 서로 잘 챙겨준다.,N
46,또래공동체 의식,학생보고(5점 리커트),SR34,우리 반 친구들은 서로에게 잘 해준다.,N
47,행동적 참여,학생보고(5점 리커트),SR35,나는 학교에서 잘하려고 노력한다.,N
48,행동적 참여,학생보고(5점 리커트),SR36,나는 수업 시간에 최대한 열심히 한다.,N
49,행동적 참여,학생보고(5점 리커트),SR37,나는 수업에서 하는 토론에 참여한다.,N
50,행동적 참여,학생보고(5점 리커트),SR38,나는 수업에 집중한다.,N
51,행동적 참여,학생보고(5점 리커트),SR39,나는 수업을 주의 깊게 듣는다.,N
52,정서적 참여,학생보고(5점 리커트),SR40,나는 수업 시간에 기분이 좋다.,N
53,정서적 참여,학생보고(5점 리커트),SR41,나는 수업에서 무언가를 할 때 흥미를 느낀다.,N
54,정서적 참여,학생보고(5점 리커트),SR42,수업은 재미있다.,N
55,정서적 참여,학생보고(5점 리커트),SR43,나는 수업에서 새로운 것을 배우는 것을 즐긴다.,N
56,정서적 참여,학생보고(5점 리커트),SR44,나는 수업활동에 적극적으로 참여한다.,N
57,협동적 태도,학생보고(5점 리커트),SR45,나는 다른 학생의 학습을 도와주는게 좋다.,N
58,협동적 태도,학생보고(5점 리커트),SR46,나는 내 생각이나 준비물을 다른 학생과 공유하는 것을 좋아한다.,N
59,협동적 태도,학생보고(5점 리커트),SR47,나는 다른 학생과 협동하는 것을 좋아한다.,N
60,협동적 태도,학생보고(5점 리커트),SR48,나는 다른 학생들에게 중요한 것들을 배울 수 있다.,N
61,협동적 태도,학생보고(5점 리커트),SR49,모둠 학습에서 내 생각과 준비물을 나누려고 노력한다.,N
62,협동적 태도,학생보고(5점 리커트),SR50,학생들은 서로서로 가르쳐주고 배울 수 있다.,N
63,협동적 태도,학생보고(5점 리커트),SR51,학습할 때 학생끼리 서로 돕는 것이 좋다고 생각한다.   SR52. 나는 다른 학생보다 더 잘하고 싶다.,N
64,경쟁적 태도,학생보고(5점 리커트),SR53,나는 내가 다른 학생보다 더 좋은 점수를 받기 위해서 공부한다.,N
65,경쟁적 태도,학생보고(5점 리커트),SR54,나는 우리 반에서 최고의 학생이 되고 싶다.,N
66,경쟁적 태도,학생보고(5점 리커트),SR55,나는 남에게 뒤쳐지는 것을 좋아하지 않는다.,N
67,경쟁적 태도,학생보고(5점 리커트),SR56,나는 누가 최고인지 알아보기 위해서 다른 학생과 경쟁(승부를 겨루는 것)하는 것을 좋아한다.,N
68,경쟁적 태도,학생보고(5점 리커트),SR57,나는 다른 학생과 경쟁(승부를 겨루는 것)할 때 가장 행복하다.,N
69,경쟁적 태도,학생보고(5점 리커트),SR58,나는 누가 최고인지 알아보기 위해 도전하는 것을 좋아한다.,N
70,경쟁적 태도,학생보고(5점 리커트),SR59,다른 학생과의 경쟁은 공부하기 위한 좋은 방법이다.,N
71,교사평정 성취도,교사보고(학생평가 5점 리커트),TR1,각 학생의 주요과목에 대한 성취도를 평가해주세요.,N
72,친한친구,또래지명,PN14,가장 친한 친구는?,N
73,학습친구,또래지명,PN15,같이 공부하는 친구는?,N
74,협동학습 친구,또래지명,PN16,공부할 때 도움을 요청하는 친구는?,N
75,선망하는 친구,또래지명,PN17,"함께 어울리거나, 친구가 되고싶은 사람은?",N
76,교사선호,또래지명,PN18,선생님과 잘 지내는,N
77,교사비선호,또래지명,PN19,선생님과 잘 지내지 못하는,N
78,애정,학생보고(5점 리커트),SR60,부모님은 내가 하고 있는 일들을 중요하게 생각해준다.,N
79,애정,학생보고(5점 리커트),SR61,부모님은 내가 착하게 행동하면 칭찬해준다.,N
80,애정,학생보고(5점 리커트),SR62,"부모님은 내가 겁을 내거나 당황할 때, 도와주려고 하신다.",N
81,애정,학생보고(5점 리커트),SR63,부모님은 내가 칭찬받을 일을 하면 칭찬해주신다.,N
82,애정,학생보고(5점 리커트),SR64,부모님은 내가 소중하고 필요한 존재라는 것을 느끼도록 해준다.,N
83,애정,학생보고(5점 리커트),SR65,"부모님은 나의 생각들을 존중하고, 내 생각을 표현하도록 북돋아준다.",N
84,애정,학생보고(5점 리커트),SR66,"부모님은 일상생활에 관해 나와 같이 이야기하고, 이야기도 들어주신다.",N
85,애정,학생보고(5점 리커트),SR67,"부모님은 내가 무언가를 잘했을 때, 나 스스로 자랑스럽게 느끼도록 해준다.",N
86,애정,학생보고(5점 리커트),SR68,"부모님은 내가 친구들을 집에 데리고 오는 걸 좋아하고, 친구들에게도 잘해주신다.",N
87,거부,학생보고(5점 리커트),SR69,부모님은 나에게 짜증을 낸다.,N
88,거부,학생보고(5점 리커트),SR70,부모님은 나를 거칠게 대한다.,N
89,거부,학생보고(5점 리커트),SR72,부모님은 내가 잘못하면 바로 혼내신다.,N
90,거부,학생보고(5점 리커트),SR72,부모님은 내가 자신을 신경쓰이게 한다고 말하신다.,N
91,거부,학생보고(5점 리커트),SR73,부모님은 나의 기분을 상하게 한다.,N
92,거부,학생보고(5점 리커트),SR74,"부모님은 내가 잘못을 저지를 경우, 윽박지르거나 위협적으로 대한다.",N
93,거부,학생보고(5점 리커트),SR75,부모님은 화가 났을 때 나를 심하게 혼낸다.,N
94,학생의 평등한 지위관리 ,교사보고(5점 리커트),TSR1,"나는 인기있는 학생의 영향력이 과하게 나타나지 않도록 학급 환경을 조성한다. ( 예: 인기를 얻을 수 있는 다양한 방법을 제시하기, 다양한 재능과 능력의 가치 강조하기)",N
95,학생의 평등한 지위관리 ,교사보고(5점 리커트),TSR2,"나는 인기가 없는 학생도 친구들로부터 인정을 받을 수 있는 기회를 만들어 준다. (예: 인기가 없는 학생에게 리더역할을 부여해주기, 친구들 앞에서 인정해주기, 다른 아이들에게 그들의 장점 부각시키기)",N
96,학생의 평등한 지위관리 ,교사보고(5점 리커트),TSR3,나는 인기가 없는 학생들에게 친구들로부터 인기를 얻고 인정받을 수 있는 사회적 기술과 전략을 알려주려고 노력한다.,N
97,학생의 평등한 지위관리 ,교사보고(5점 리커트),TSR4,나는 인기가 없는 학생들을 위해 학급에서 친구들과 함께 사이좋게 지내는 것의 중요성을 강조한다.,N
98,학생의 평등한 지위관리 ,교사보고(5점 리커트),TSR5,"나는 인기가 없는 학생을 위해, 인기있는 학생과 짝궁을 맺어주거나, 다른 친구들과 함께 공부할 수 있는 기회를 제공한다.",N
99,학생의 평등한 지위관리 ,교사보고(5점 리커트),TSR6,"나는 학급에서 또래들간의 인기의 균형을 이루도록 노력한다. (예: 다양한 학생에게 리더 역할 부여하기, 인기학생들도 다른 학생들의 안내와 지시에 따르는 기회 주기, 자리배치와 모둠과제를 활용하여 소수의 학생이 학급 분위기를 주도하지 않도록 유도하기)",N
100,소외 학생관리,교사보고(5점 리커트),TSR7,나는 학급에서 소외받고 친구가 없는 학생들이 친구를 사귈 수 있는 기회를 제공하려고 노력한다. (예: 해당 학생이 좋아하는 자리나 모둠을 선택하도록 함),N
101,소외 학생관리,교사보고(5점 리커트),TSR8,"나는 학급에서 소외받고 친구가 없는 학생들이 선호하는 또래와 친구가 될 수있도록 도와준다. (예: 소외 받은 학생이 선호하는 특정 학생(혹은 그들과 짝이 되는 것에 거부감을 가지지 않는 학생)과 짝을 지어주거나, 모둠이 되도록 함.)",N
102,소외 학생관리,교사보고(5점 리커트),TSR9,"나는 학급에서 다양한 친구를 사귀는 것의 중요성을 강조하여, 소외받고 친구가 없는 학생을 보호하려고 노력한다.",N
103,소외 학생관리,교사보고(5점 리커트),TSR10,나는 학급에서 소외받고 친구가 없는 학생들이 친구를 사귀는 사회적 기술과 전략을 개발하고 연습할 수 있도록 지도한다.,N
104,문제행동 관리,교사보고(5점 리커트),TSR11,나는 문제를 일으키는 또래관계나 또래집단이 다른 친구들과 어울릴 수 있도록 학급의 환경을 조성한다. (예: 자리 배치나 모둠학습을 통해 긍정적인 또래관계 혹은 문제를 일으키는 또래를 떨어뜨려 놓음),N
105,문제행동 관리,교사보고(5점 리커트),TSR12,"나는 특정한 또래집단에서의 부정적인 또래 상호작용을 최소화 하고, 긍정적인 또래관계를 형성할 수 있도록 돕는다. (예: 친사회적 행동을 강화하거나, 문제행동을 줄일 수 있는 방법을 안내함.)",N
106,문제행동 관리,교사보고(5점 리커트),TSR13,나는 문제를 일으키는 또래들과 어울리는 학생이 학급에서 다른 친구들과 우정을 형성할 수 있도록 돕는다.,N
107,공격성 관리,교사보고(5점 리커트),TSR14,"나는 학생들의 폭력 행동 또는 또래를 괴롭히는 행동을 최소화 할 수 있도록 학급 환경을 조성한다. (예: 수업시간에 학생들을 과제에 집중시키기, 또래를 괴롭히는 학생들을 서로 떨어뜨려 놓기, 또래를 괴롭히는 학생들을 교사 가까이 두고 지켜보기)",N
108,공격성 관리,교사보고(5점 리커트),TSR15,나는 학생들이 폭력 행동 또는 또래를 괴롭히는 행동을 할 경우 꼭 따로 불러 잘못된 행동에 대해 설명하고 주의를 준다.,N
109,공격성 관리,교사보고(5점 리커트),TSR16,"나는 또래로부터 괴롭힘을 당하는 학생들이 계속 괴롭힘을 당하지 않도록 노력한다. (예: 괴롭히는 친구와 짝이 되지 않도록 하기, 어른의 감독이 없는 상황에 혼자 있지 않도록 하기)",N
110,공격성 관리,교사보고(5점 리커트),TSR17,나는 학생이 또래로부터 괴롭힘을 당하는 것을 발견하면 바로 개입하여 피해를 줄일 수 있도록 노력한다.,N
111,공격성 관리,교사보고(5점 리커트),TSR18,나는 또래로부터 괴롭힘을 당하는 학생에게 괴롭힘에 효과적으로 대처하고 괴롭힘을 피할 수 있는 방법을 알려주려고 노력한다.,N
112,긍정적 학습 분위기 조성,교사보고(5점 리커트),TSR19,나는 폭력 행동 또는 또래를 괴롭히는 행동을 하는 학생들에게 바람직한 행동을 하는 학생과 어울릴 수 있는 기회를 주어 이들로부터 좋은 영향을 받을 수 있도록 노력한다. (예: 또래를 잘 도와주는 학생과 짝이 되어 앉게 하기),N
113,긍정적 학습 분위기 조성,교사보고(5점 리커트),TSR20,"나는 폭력 행동 또는 또래를 괴롭히는 행동을 하는 학생들(가해학생)에게 학급의 임무를 맡겨 다른 학생들과 잘 어울릴 수 있는 기회를 주려고 노력한다. (예: 특정 임무를 부여하기, 또래에게 좋은 인상을 줄 수 있는 기회 만들어주기)",N
114,긍정적 학습 분위기 조성,교사보고(5점 리커트),TSR21,"나는 폭력 행동 또는 또래를 괴롭히는 행동을 하는 학생들이 바람직한 행동을 배울 수 있도록 돕는다. (예: 친구들과 잘 어울릴 수 있는 방법을 가르쳐주기, 또래에게 친절한 행동을 할 때마다 칭찬하기)",N
115,긍정적 학습 분위기 조성,교사보고(5점 리커트),TSR22,"나는 또래 괴롭힘을 당하는 학생(피해학생)들에게 또래들이 긍정적으로 평가할만한 학급의 임무를 만들고, 수행하도록 하여 다른 학생들과 잘 어울릴 수 있는 기회를 주려고 노력한다. (예: 특정 임무를 부여하기, 또래에게 좋은 인상을 줄 수 있는 기회 만들어주기 )",N
116,긍정적 학습 분위기 조성,교사보고(5점 리커트),TSR23,나는 또래로부터 괴롭힘을 당하는 학생들이 다른 또래들과 어울릴 수 있는 기회를 만들어주려고 노력한다. (예: 또래를 도와주는 학생과 짝이 되어 앉게 하기),N
117,또래관계 교사 민감성,교사지명(5점 리커트),TR2,이 아이는 반 아이들 사이에서 인기가 있다.,N
118,또래관계 교사 민감성,교사지명(5점 리커트),TR3,반 아이들은 이 아이와 함께 놀고 싶어한다.,N
119,또래관계 교사 민감성,교사지명(5점 리커트),TR4,이 아이는 친구들과 싸움을 시작하는 편이다.,N
120,또래관계 교사 민감성,교사지명(5점 리커트),TR5,이 아이는 험담을 하거나 다른 친구를 소외시킨다.,N
121,또래관계 교사 민감성,교사지명(5점 리커트),TR6,이 아이는 친구를 괴롭히는 행동을 시작한다.,N
122,또래관계 교사 민감성,교사지명(5점 리커트),TR7,이 아이는 친구들에게 자주 놀림을 당한다.,N
123,또래관계 교사 민감성,교사지명(5점 리커트),TR8,이 아이는 친절하다.,N
124,또래관계 교사 민감성,교사지명(5점 리커트),TR9,이 아이는 학교에서 잘하려고 노력한다.,N
125,또래관계 교사 민감성,교사지명(5점 리커트),TR10,이 아이는 수업 시간에 기분이 좋아 보인다.,N
