"USER_TESTING_NO","SCALE_CODE","YYYYMM","RAW_TOTAL_SCORE","ORIGIN_TOTAL_SCORE","SUBS_YN"
"0363196c9c154e678d34",L01,202507,"12","12",
"03b81941366b4d83b56d",A01,202507,"11","11",
"03b81941366b4d83b56d",B01,202507,"7","7",
"03b81941366b4d83b56d",C01,202507,"25","25",
"03b81941366b4d83b56d",D01,202507,"24","24",
"03b81941366b4d83b56d",E01,202507,"20","20",
"03b81941366b4d83b56d",F01,202507,"16","16",
"03b81941366b4d83b56d",G01,202507,"20","20",
"03b81941366b4d83b56d",H01,202507,"14","14",
"03b81941366b4d83b56d",I01,202507,"28","28",
"03b81941366b4d83b56d",J01,202507,"27","27",
"03b81941366b4d83b56d",K01,202507,"36","36",
"03b81941366b4d83b56d",L01,202507,"24","24",
"04139f1736164d289bf2",A01,202507,"5","5",
"04139f1736164d289bf2",B01,202507,"3","3",
"04139f1736164d289bf2",C01,202507,"20","20",
"04139f1736164d289bf2",D01,202507,"16","16",
"04139f1736164d289bf2",E01,202507,"18","18",
"04139f1736164d289bf2",F01,202507,"7","7",
"04139f1736164d289bf2",G01,202507,"9","9",
"04139f1736164d289bf2",H01,202507,"9","9",
"04139f1736164d289bf2",I01,202507,"11","11",
"04139f1736164d289bf2",J01,202507,"30","30",
"04139f1736164d289bf2",K01,202507,"17","17",
"04139f1736164d289bf2",L01,202507,"30","30",
"046949ff87a34ef0bea9",A01,202507,"6","6",
"046949ff87a34ef0bea9",B01,202507,"10","10",
"046949ff87a34ef0bea9",C01,202507,"17","17",
"046949ff87a34ef0bea9",D01,202507,"15","15",
"046949ff87a34ef0bea9",E01,202507,"28","28",
"046949ff87a34ef0bea9",F01,202507,"12","12",
"046949ff87a34ef0bea9",G01,202507,"17","17",
"046949ff87a34ef0bea9",H01,202507,"22","22",
"046949ff87a34ef0bea9",I01,202507,"21","21",
"046949ff87a34ef0bea9",J01,202507,"20","20",
"046949ff87a34ef0bea9",K01,202507,"26","26",
"046949ff87a34ef0bea9",L01,202507,"14","14",
"0497a075172f47b88518",A01,202507,"9","9",
"0497a075172f47b88518",B01,202507,"5","5",
"0497a075172f47b88518",C01,202507,"29","29",
"0497a075172f47b88518",D01,202507,"30","30",
"0497a075172f47b88518",E01,202507,"17","17",
"0497a075172f47b88518",F01,202507,"20","20",
"0497a075172f47b88518",G01,202507,"22","22",
"0497a075172f47b88518",H01,202507,"20","20",
"0497a075172f47b88518",I01,202507,"33","33",
"0497a075172f47b88518",J01,202507,"25","25",
"0497a075172f47b88518",K01,202507,"42","42",
"0497a075172f47b88518",L01,202507,"12","12",
"04a0c7a4e39546138b61",A01,202507,"9","9",
"04a0c7a4e39546138b61",B01,202507,"8","8",
"04a0c7a4e39546138b61",C01,202507,"22","22",
"04a0c7a4e39546138b61",D01,202507,"17","17",
"04a0c7a4e39546138b61",E01,202507,"29","29",
"04a0c7a4e39546138b61",F01,202507,"14","14",
"04a0c7a4e39546138b61",G01,202507,"12","12",
"04a0c7a4e39546138b61",H01,202507,"20","20",
"04a0c7a4e39546138b61",I01,202507,"23","23",
"04a0c7a4e39546138b61",J01,202507,"29","29",
"04a0c7a4e39546138b61",K01,202507,"31","31",
"04a0c7a4e39546138b61",L01,202507,"27","27",
"05026aa9b5e245aaa89b",A01,202507,"6","6",
"05026aa9b5e245aaa89b",B01,202507,"6","6",
"05026aa9b5e245aaa89b",C01,202507,"26","26",
"05026aa9b5e245aaa89b",D01,202507,"19","19",
"05026aa9b5e245aaa89b",E01,202507,"29","29",
"05026aa9b5e245aaa89b",F01,202507,"12","12",
"05026aa9b5e245aaa89b",G01,202507,"10","10",
"05026aa9b5e245aaa89b",H01,202507,"10","10",
"05026aa9b5e245aaa89b",I01,202507,"17","17",
"05026aa9b5e245aaa89b",J01,202507,"14","14",
"05026aa9b5e245aaa89b",K01,202507,"22","22",
"05026aa9b5e245aaa89b",L01,202507,"29","29",
"0596ed3ac69549df883c",A01,202507,"9","9",
"0596ed3ac69549df883c",B01,202507,"9","9",
"0596ed3ac69549df883c",C01,202507,"22","22",
"0596ed3ac69549df883c",D01,202507,"14","14",
"0596ed3ac69549df883c",E01,202507,"26","26",
"0596ed3ac69549df883c",F01,202507,"10","10",
"0596ed3ac69549df883c",G01,202507,"15","15",
"0596ed3ac69549df883c",H01,202507,"12","12",
"0596ed3ac69549df883c",I01,202507,"26","26",
"0596ed3ac69549df883c",J01,202507,"23","23",
"0596ed3ac69549df883c",K01,202507,"27","27",
"0596ed3ac69549df883c",L01,202507,"27","27",
"0680eb711ae6449590a6",A01,202507,"3","3",
"0680eb711ae6449590a6",B01,202507,"4","4",
"0680eb711ae6449590a6",C01,202507,"20","20",
"0680eb711ae6449590a6",D01,202507,"20","20",
"0680eb711ae6449590a6",E01,202507,"13","13",
"0680eb711ae6449590a6",F01,202507,"16","16",
"0680eb711ae6449590a6",G01,202507,"15","15",
"0680eb711ae6449590a6",H01,202507,"14","14",
"0680eb711ae6449590a6",I01,202507,"22","22",
"0680eb711ae6449590a6",J01,202507,"17","17",
"0680eb711ae6449590a6",K01,202507,"32","32",
"0680eb711ae6449590a6",L01,202507,"17","17",
"06881964b39943a79423",A01,202507,"12","12",
"06881964b39943a79423",B01,202507,"13","13",
"06881964b39943a79423",C01,202507,"12","12",
"06881964b39943a79423",D01,202507,"16","16",
"06881964b39943a79423",E01,202507,"17","17",
"06b4a986bb8f46dc99bb",A01,202507,"15","15",
"06b4a986bb8f46dc99bb",B01,202507,"15","15",
"06b4a986bb8f46dc99bb",C01,202507,"23","23",
"06b4a986bb8f46dc99bb",D01,202507,"27","27",
"06b4a986bb8f46dc99bb",E01,202507,"42","42",
"06b4a986bb8f46dc99bb",F01,202507,"20","20",
"06b4a986bb8f46dc99bb",G01,202507,"25","25",
"06b4a986bb8f46dc99bb",H01,202507,"25","25",
"06b4a986bb8f46dc99bb",I01,202507,"35","35",
"06b4a986bb8f46dc99bb",J01,202507,"40","40",
"06b4a986bb8f46dc99bb",K01,202507,"45","45",
"06b4a986bb8f46dc99bb",L01,202507,"40","40",
"0789588993dd49c6908d",A01,202507,"4","4",
"0789588993dd49c6908d",B01,202507,"6","6",
"0789588993dd49c6908d",C01,202507,"19","19",
"0789588993dd49c6908d",D01,202507,"15","15",
"0789588993dd49c6908d",E01,202507,"35","35",
"0789588993dd49c6908d",F01,202507,"12","12",
"0789588993dd49c6908d",G01,202507,"11","11",
"0789588993dd49c6908d",H01,202507,"13","13",
"0789588993dd49c6908d",I01,202507,"25","25",
"0789588993dd49c6908d",J01,202507,"19","19",
"0789588993dd49c6908d",K01,202507,"26","26",
"0789588993dd49c6908d",L01,202507,"22","22",
"07ba0d3c46a94a9087ab",A01,202507,"9","9",
"07ba0d3c46a94a9087ab",B01,202507,"8","8",
"07ba0d3c46a94a9087ab",C01,202507,"29","29",
"07ba0d3c46a94a9087ab",D01,202507,"26","26",
"07ba0d3c46a94a9087ab",E01,202507,"14","14",
"07ba0d3c46a94a9087ab",F01,202507,"16","16",
"07ba0d3c46a94a9087ab",G01,202507,"21","21",
"07ba0d3c46a94a9087ab",H01,202507,"14","14",
"07ba0d3c46a94a9087ab",I01,202507,"22","22",
"07ba0d3c46a94a9087ab",J01,202507,"26","26",
"07ba0d3c46a94a9087ab",K01,202507,"44","44",
"07ba0d3c46a94a9087ab",L01,202507,"14","14",
"07e42dc1607b4741ab14",A01,202507,"15","15",
"07e42dc1607b4741ab14",B01,202507,"6","6",
"07e42dc1607b4741ab14",C01,202507,"19","19",
"07e42dc1607b4741ab14",D01,202507,"23","23",
"07e42dc1607b4741ab14",E01,202507,"12","12",
"07e42dc1607b4741ab14",F01,202507,"20","20",
"07e42dc1607b4741ab14",G01,202507,"22","22",
"07e42dc1607b4741ab14",H01,202507,"22","22",
"07e42dc1607b4741ab14",I01,202507,"28","28",
"07e42dc1607b4741ab14",J01,202507,"29","29",
"07e42dc1607b4741ab14",K01,202507,"43","43",
"07e42dc1607b4741ab14",L01,202507,"19","19",
"07e67f41500244b9a41f",A01,202507,"13","13",
"07e67f41500244b9a41f",B01,202507,"11","11",
"07e67f41500244b9a41f",C01,202507,"29","29",
"07e67f41500244b9a41f",D01,202507,"28","28",
"07e67f41500244b9a41f",E01,202507,"33","33",
"07e67f41500244b9a41f",F01,202507,"20","20",
"07e67f41500244b9a41f",G01,202507,"25","25",
"07e67f41500244b9a41f",H01,202507,"18","18",
"07e67f41500244b9a41f",I01,202507,"32","32",
"07e67f41500244b9a41f",J01,202507,"37","37",
"07e67f41500244b9a41f",K01,202507,"39","39",
"07e67f41500244b9a41f",L01,202507,"25","25",
"07f706fba48d4569bd14",A01,202507,"13","13",
"07f706fba48d4569bd14",B01,202507,"10","10",
"07f706fba48d4569bd14",C01,202507,"11","11",
"07f706fba48d4569bd14",D01,202507,"21","21",
"07f706fba48d4569bd14",E01,202507,"18","18",
"086b817912d34cf2be0c",A01,202507,"12","12",
"086b817912d34cf2be0c",B01,202507,"7","7",
"086b817912d34cf2be0c",C01,202507,"28","28",
"086b817912d34cf2be0c",D01,202507,"28","28",
"086b817912d34cf2be0c",E01,202507,"12","12",
"086b817912d34cf2be0c",F01,202507,"18","18",
"086b817912d34cf2be0c",G01,202507,"20","20",
"086b817912d34cf2be0c",H01,202507,"15","15",
"086b817912d34cf2be0c",I01,202507,"28","28",
"086b817912d34cf2be0c",J01,202507,"25","25",
"086b817912d34cf2be0c",K01,202507,"40","40",
"086b817912d34cf2be0c",L01,202507,"14","14",
"095968794e6647a694ba",A01,202507,"18","18",
"095968794e6647a694ba",B01,202507,"12","12",
"095968794e6647a694ba",C01,202507,"9","9",
"095968794e6647a694ba",D01,202507,"15","15",
"095968794e6647a694ba",E01,202507,"15","15",
"095bb079c9e04737965b",A01,202507,"14","14",
"095bb079c9e04737965b",B01,202507,"11","11",
"095bb079c9e04737965b",C01,202507,"33","33",
"095bb079c9e04737965b",D01,202507,"30","30",
"095bb079c9e04737965b",E01,202507,"10","10",
"095bb079c9e04737965b",F01,202507,"20","20",
"095bb079c9e04737965b",G01,202507,"25","25",
"095bb079c9e04737965b",H01,202507,"25","25",
"095bb079c9e04737965b",I01,202507,"30","30",
"095bb079c9e04737965b",J01,202507,"34","34",
"095bb079c9e04737965b",K01,202507,"44","44",
"095bb079c9e04737965b",L01,202507,"15","15",
"09bf639e188f49878a3f",A01,202507,"15","15",
"09bf639e188f49878a3f",B01,202507,"15","15",
"09bf639e188f49878a3f",C01,202507,"22","22",
"09bf639e188f49878a3f",D01,202507,"22","22",
"09bf639e188f49878a3f",E01,202507,"18","18",
"09bf639e188f49878a3f",F01,202507,"20","20",
"09bf639e188f49878a3f",G01,202507,"17","17",
"09bf639e188f49878a3f",H01,202507,"18","18",
"09bf639e188f49878a3f",I01,202507,"24","24",
"09bf639e188f49878a3f",J01,202507,"13","13",
"09bf639e188f49878a3f",K01,202507,"31","31",
"09bf639e188f49878a3f",L01,202507,"11","11",
"0a122176e00146eb9a92",A01,202507,"10","10",
"0a122176e00146eb9a92",B01,202507,"10","10",
"0a122176e00146eb9a92",C01,202507,"28","28",
"0a122176e00146eb9a92",D01,202507,"26","26",
"0a122176e00146eb9a92",E01,202507,"34","34",
"0a122176e00146eb9a92",F01,202507,"15","15",
"0a122176e00146eb9a92",G01,202507,"21","21",
"0a122176e00146eb9a92",H01,202507,"23","23",
"0a122176e00146eb9a92",I01,202507,"26","26",
"0a122176e00146eb9a92",J01,202507,"31","31",
"0a122176e00146eb9a92",K01,202507,"36","36",
"0a122176e00146eb9a92",L01,202507,"15","15",
"0a84951c8a6348da9cc3",A01,202508,"6","6",
"0a84951c8a6348da9cc3",B01,202508,"6","6",
"0a84951c8a6348da9cc3",C01,202508,"21","21",
"0a84951c8a6348da9cc3",D01,202508,"14","14",
"0a84951c8a6348da9cc3",E01,202508,"29","29",
"0a84951c8a6348da9cc3",F01,202508,"7","7",
"0a84951c8a6348da9cc3",G01,202508,"11","11",
"0a84951c8a6348da9cc3",H01,202508,"9","9",
"0a84951c8a6348da9cc3",I01,202508,"15","15",
"0a84951c8a6348da9cc3",J01,202508,"16","16",
"0a84951c8a6348da9cc3",K01,202508,"18","18",
"0a84951c8a6348da9cc3",L01,202508,"16","16",
"0aaa2d56e4ba45ba82da",A01,202507,"13","13",
"0aaa2d56e4ba45ba82da",B01,202507,"10","10",
"0aaa2d56e4ba45ba82da",C01,202507,"22","22",
"0aaa2d56e4ba45ba82da",D01,202507,"23","23",
"0aaa2d56e4ba45ba82da",E01,202507,"34","34",
"0aaa2d56e4ba45ba82da",F01,202507,"9","9",
"0aaa2d56e4ba45ba82da",G01,202507,"13","13",
"0aaa2d56e4ba45ba82da",H01,202507,"13","13",
"0aaa2d56e4ba45ba82da",I01,202507,"17","17",
"0aaa2d56e4ba45ba82da",J01,202507,"23","23",
"0aaa2d56e4ba45ba82da",K01,202507,"23","23",
"0aaa2d56e4ba45ba82da",L01,202507,"23","23",
"0abc522f60684cc6be3e",A01,202507,"4","4",
"0abc522f60684cc6be3e",B01,202507,"6","6",
"0abc522f60684cc6be3e",C01,202507,"24","24",
"0abc522f60684cc6be3e",D01,202507,"21","21",
"0abc522f60684cc6be3e",E01,202507,"22","22",
"0abc522f60684cc6be3e",F01,202507,"11","11",
"0abc522f60684cc6be3e",G01,202507,"12","12",
"0abc522f60684cc6be3e",H01,202507,"14","14",
"0abc522f60684cc6be3e",I01,202507,"16","16",
"0abc522f60684cc6be3e",J01,202507,"20","20",
"0abc522f60684cc6be3e",K01,202507,"24","24",
"0abc522f60684cc6be3e",L01,202507,"26","26",
"0ad7d3284d7149f393e8",A01,202507,"7","7",
"0ad7d3284d7149f393e8",B01,202507,"5","5",
"0ad7d3284d7149f393e8",C01,202507,"18","18",
"0ad7d3284d7149f393e8",D01,202507,"17","17",
"0ad7d3284d7149f393e8",E01,202507,"20","20",
"0ad7d3284d7149f393e8",F01,202507,"6","6",
"0ad7d3284d7149f393e8",G01,202507,"8","8",
"0ad7d3284d7149f393e8",H01,202507,"7","7",
"0ad7d3284d7149f393e8",I01,202507,"10","10",
"0ad7d3284d7149f393e8",J01,202507,"12","12",
"0ad7d3284d7149f393e8",K01,202507,"14","14",
"0ad7d3284d7149f393e8",L01,202507,"12","12",
"0c2a1f72ec5d4d36975c",A01,202507,"12","12",
"0c2a1f72ec5d4d36975c",B01,202507,"6","6",
"0c2a1f72ec5d4d36975c",C01,202507,"33","33",
"0c2a1f72ec5d4d36975c",D01,202507,"30","30",
"0c2a1f72ec5d4d36975c",E01,202507,"26","26",
"0c2a1f72ec5d4d36975c",F01,202507,"13","13",
"0c2a1f72ec5d4d36975c",G01,202507,"25","25",
"0c2a1f72ec5d4d36975c",H01,202507,"23","23",
"0c2a1f72ec5d4d36975c",I01,202507,"32","32",
"0c2a1f72ec5d4d36975c",J01,202507,"26","26",
"0c2a1f72ec5d4d36975c",K01,202507,"45","45",
"0c2a1f72ec5d4d36975c",L01,202507,"14","14",
"0d3a32b9c55a4bf6a136",A01,202507,"8","8",
"0d3a32b9c55a4bf6a136",B01,202507,"12","12",
"0d3a32b9c55a4bf6a136",C01,202507,"24","24",
"0d3a32b9c55a4bf6a136",D01,202507,"24","24",
"0d3a32b9c55a4bf6a136",E01,202507,"32","32",
"0d3a32b9c55a4bf6a136",F01,202507,"12","12",
"0d3a32b9c55a4bf6a136",G01,202507,"15","15",
"0d3a32b9c55a4bf6a136",H01,202507,"15","15",
"0d3a32b9c55a4bf6a136",I01,202507,"23","23",
"0d3a32b9c55a4bf6a136",J01,202507,"25","25",
"0d3a32b9c55a4bf6a136",K01,202507,"29","29",
"0d3a32b9c55a4bf6a136",L01,202507,"22","22",
"0d684c0b1262430ca8dd",A01,202508,"7","7",
"0d684c0b1262430ca8dd",B01,202508,"7","7",
"0d684c0b1262430ca8dd",C01,202508,"19","19",
"0d684c0b1262430ca8dd",D01,202508,"22","22",
"0d684c0b1262430ca8dd",E01,202508,"30","30",
"0d684c0b1262430ca8dd",F01,202508,"15","15",
"0d684c0b1262430ca8dd",G01,202508,"20","20",
"0d684c0b1262430ca8dd",H01,202508,"17","17",
"0d684c0b1262430ca8dd",I01,202508,"24","24",
"0d684c0b1262430ca8dd",J01,202508,"24","24",
"0d684c0b1262430ca8dd",K01,202508,"27","27",
"0d684c0b1262430ca8dd",L01,202508,"23","23",
"0d7cadc13fec45a7abf1",A01,202507,"9","9",
"0d7cadc13fec45a7abf1",B01,202507,"10","10",
"0d7cadc13fec45a7abf1",C01,202507,"20","20",
"0d7cadc13fec45a7abf1",D01,202507,"20","20",
"0d7cadc13fec45a7abf1",E01,202507,"38","38",
"0d7cadc13fec45a7abf1",F01,202507,"12","12",
"0d7cadc13fec45a7abf1",G01,202507,"16","16",
"0d7cadc13fec45a7abf1",H01,202507,"12","12",
"0d7cadc13fec45a7abf1",I01,202507,"15","15",
"0d7cadc13fec45a7abf1",J01,202507,"20","20",
"0d7cadc13fec45a7abf1",K01,202507,"28","28",
"0d7cadc13fec45a7abf1",L01,202507,"23","23",
"0ebcbe6090a44ea38059",A01,202507,"4","4",
"0ebcbe6090a44ea38059",B01,202507,"11","11",
"0ebcbe6090a44ea38059",C01,202507,"23","23",
"0ebcbe6090a44ea38059",D01,202507,"30","30",
"0ebcbe6090a44ea38059",E01,202507,"23","23",
"0ebcbe6090a44ea38059",F01,202507,"18","18",
"0ebcbe6090a44ea38059",G01,202507,"13","13",
"0ebcbe6090a44ea38059",H01,202507,"10","10",
"0ebcbe6090a44ea38059",I01,202507,"19","19",
"0ebcbe6090a44ea38059",J01,202507,"17","17",
"0ebcbe6090a44ea38059",K01,202507,"23","23",
"0ebcbe6090a44ea38059",L01,202507,"10","10",
"0ec1906aff9c4bb0bd7b",A01,202507,"13","13",
"0ec1906aff9c4bb0bd7b",B01,202507,"9","9",
"0ec1906aff9c4bb0bd7b",C01,202507,"31","31",
"0ec1906aff9c4bb0bd7b",D01,202507,"27","27",
"0ec1906aff9c4bb0bd7b",E01,202507,"33","33",
"0ec1906aff9c4bb0bd7b",F01,202507,"13","13",
"0ec1906aff9c4bb0bd7b",G01,202507,"19","19",
"0ec1906aff9c4bb0bd7b",H01,202507,"14","14",
"0ec1906aff9c4bb0bd7b",I01,202507,"26","26",
"0ec1906aff9c4bb0bd7b",J01,202507,"33","33",
"0ec1906aff9c4bb0bd7b",K01,202507,"38","38",
"0ec1906aff9c4bb0bd7b",L01,202507,"15","15",
"0f99bdef3cec496582ca",A01,202507,"7","7",
"0f99bdef3cec496582ca",B01,202507,"7","7",
"0f99bdef3cec496582ca",C01,202507,"34","34",
"0f99bdef3cec496582ca",D01,202507,"27","27",
"0f99bdef3cec496582ca",E01,202507,"36","36",
"0f99bdef3cec496582ca",F01,202507,"17","17",
"0f99bdef3cec496582ca",G01,202507,"20","20",
"0f99bdef3cec496582ca",H01,202507,"21","21",
"0f99bdef3cec496582ca",I01,202507,"29","29",
"0f99bdef3cec496582ca",J01,202507,"34","34",
"0f99bdef3cec496582ca",K01,202507,"28","28",
"0f99bdef3cec496582ca",L01,202507,"34","34",
"10c88fcf61b14a6caa77",A01,202508,"26","26",
"10c88fcf61b14a6caa77",B01,202508,"20","20",
"10c88fcf61b14a6caa77",C01,202508,"15","15",
"10c88fcf61b14a6caa77",D01,202508,"23","23",
"10c88fcf61b14a6caa77",E01,202508,"16","16",
"114287d3f986423b9b03",A01,202507,"6","6",
"114287d3f986423b9b03",B01,202507,"7","7",
"114287d3f986423b9b03",C01,202507,"21","21",
"114287d3f986423b9b03",D01,202507,"23","23",
"114287d3f986423b9b03",E01,202507,"36","36",
"114287d3f986423b9b03",F01,202507,"16","16",
"114287d3f986423b9b03",G01,202507,"21","21",
"114287d3f986423b9b03",H01,202507,"25","25",
"114287d3f986423b9b03",I01,202507,"35","35",
"114287d3f986423b9b03",J01,202507,"35","35",
"114287d3f986423b9b03",K01,202507,"36","36",
"114287d3f986423b9b03",L01,202507,"25","25",
"11b4a58ed5524ad083fe",A01,202507,"6","6",
"11b4a58ed5524ad083fe",B01,202507,"6","6",
"11b4a58ed5524ad083fe",C01,202507,"21","21",
"11b4a58ed5524ad083fe",D01,202507,"14","14",
"11b4a58ed5524ad083fe",E01,202507,"29","29",
"11b4a58ed5524ad083fe",F01,202507,"7","7",
"11b4a58ed5524ad083fe",G01,202507,"11","11",
"11b4a58ed5524ad083fe",H01,202507,"9","9",
"11b4a58ed5524ad083fe",I01,202507,"14","14",
"11b4a58ed5524ad083fe",J01,202507,"16","16",
"11b4a58ed5524ad083fe",K01,202507,"18","18",
"11b4a58ed5524ad083fe",L01,202507,"15","15",
"1295d6df85c84cd5a2f5",A01,202507,"7","7",
"1295d6df85c84cd5a2f5",B01,202507,"8","8",
"1295d6df85c84cd5a2f5",C01,202507,"30","30",
"1295d6df85c84cd5a2f5",D01,202507,"23","23",
"1295d6df85c84cd5a2f5",E01,202507,"15","15",
"1295d6df85c84cd5a2f5",F01,202507,"14","14",
"1295d6df85c84cd5a2f5",G01,202507,"23","23",
"1295d6df85c84cd5a2f5",H01,202507,"14","14",
"1295d6df85c84cd5a2f5",I01,202507,"29","29",
"1295d6df85c84cd5a2f5",J01,202507,"20","20",
"1295d6df85c84cd5a2f5",K01,202507,"45","45",
"1295d6df85c84cd5a2f5",L01,202507,"16","16",
"12a108690e494c9aa5d2",A01,202507,"26","26",
"12a108690e494c9aa5d2",B01,202507,"20","20",
"12a108690e494c9aa5d2",C01,202507,"15","15",
"12a108690e494c9aa5d2",D01,202507,"25","25",
"12a108690e494c9aa5d2",E01,202507,"25","25",
"12b222d540a14a9286f3",A01,202507,"18","18",
"12b222d540a14a9286f3",B01,202507,"10","10",
"12b222d540a14a9286f3",C01,202507,"12","12",
"12b222d540a14a9286f3",D01,202507,"20","20",
"12b222d540a14a9286f3",E01,202507,"20","20",
"13161607719c404cbc71",A01,202507,"12","12",
"13161607719c404cbc71",B01,202507,"7","7",
"13161607719c404cbc71",C01,202507,"28","28",
"13161607719c404cbc71",D01,202507,"24","24",
"13161607719c404cbc71",E01,202507,"15","15",
"13161607719c404cbc71",F01,202507,"17","17",
"13161607719c404cbc71",G01,202507,"21","21",
"13161607719c404cbc71",H01,202507,"17","17",
"13161607719c404cbc71",I01,202507,"25","25",
"13161607719c404cbc71",J01,202507,"21","21",
"13161607719c404cbc71",K01,202507,"43","43",
"13161607719c404cbc71",L01,202507,"18","18",
"1345d2e063ef4fb5b618",A01,202507,"9","9",
"1345d2e063ef4fb5b618",B01,202507,"8","8",
"1345d2e063ef4fb5b618",C01,202507,"27","27",
"1345d2e063ef4fb5b618",D01,202507,"24","24",
"1345d2e063ef4fb5b618",E01,202507,"14","14",
"1345d2e063ef4fb5b618",F01,202507,"14","14",
"1345d2e063ef4fb5b618",G01,202507,"24","24",
"1345d2e063ef4fb5b618",H01,202507,"18","18",
"1345d2e063ef4fb5b618",I01,202507,"24","24",
"1345d2e063ef4fb5b618",J01,202507,"23","23",
"1345d2e063ef4fb5b618",K01,202507,"35","35",
"1345d2e063ef4fb5b618",L01,202507,"24","24",
"13da340b611f424cb7b0",A01,202507,"12","12",
"13da340b611f424cb7b0",B01,202507,"10","10",
"13da340b611f424cb7b0",C01,202507,"28","28",
"13da340b611f424cb7b0",D01,202507,"23","23",
"13da340b611f424cb7b0",E01,202507,"16","16",
"13da340b611f424cb7b0",F01,202507,"16","16",
"13da340b611f424cb7b0",G01,202507,"20","20",
"13da340b611f424cb7b0",H01,202507,"15","15",
"13da340b611f424cb7b0",I01,202507,"26","26",
"13da340b611f424cb7b0",J01,202507,"21","21",
"13da340b611f424cb7b0",K01,202507,"44","44",
"13da340b611f424cb7b0",L01,202507,"15","15",
"143fcd012f6f4cc298c1",A01,202507,"12","12",
"143fcd012f6f4cc298c1",B01,202507,"7","7",
"143fcd012f6f4cc298c1",C01,202507,"23","23",
"143fcd012f6f4cc298c1",D01,202507,"22","22",
"143fcd012f6f4cc298c1",E01,202507,"28","28",
"143fcd012f6f4cc298c1",F01,202507,"15","15",
"143fcd012f6f4cc298c1",G01,202507,"16","16",
"143fcd012f6f4cc298c1",H01,202507,"14","14",
"143fcd012f6f4cc298c1",I01,202507,"27","27",
"143fcd012f6f4cc298c1",J01,202507,"20","20",
"143fcd012f6f4cc298c1",K01,202507,"32","32",
"143fcd012f6f4cc298c1",L01,202507,"17","17",
"14755b54b98f4cb7ab27",A01,202507,"15","15",
"14755b54b98f4cb7ab27",B01,202507,"15","15",
"14755b54b98f4cb7ab27",C01,202507,"23","23",
"14755b54b98f4cb7ab27",D01,202507,"27","27",
"14755b54b98f4cb7ab27",E01,202507,"42","42",
"14755b54b98f4cb7ab27",F01,202507,"20","20",
"14755b54b98f4cb7ab27",G01,202507,"25","25",
"14755b54b98f4cb7ab27",H01,202507,"25","25",
"14755b54b98f4cb7ab27",I01,202507,"35","35",
"14755b54b98f4cb7ab27",J01,202507,"40","40",
"14755b54b98f4cb7ab27",K01,202507,"45","45",
"14755b54b98f4cb7ab27",L01,202507,"40","40",
"149383641e664037b5af",A01,202507,"23","23",
"149383641e664037b5af",B01,202507,"18","18",
"149383641e664037b5af",C01,202507,"14","14",
"149383641e664037b5af",D01,202507,"25","25",
"149383641e664037b5af",E01,202507,"25","25",
"15d95c51847c4c1ba992",A01,202507,"6","6",
"15d95c51847c4c1ba992",B01,202507,"6","6",
"15d95c51847c4c1ba992",C01,202507,"21","21",
"15d95c51847c4c1ba992",D01,202507,"14","14",
"15d95c51847c4c1ba992",E01,202507,"29","29",
